feature,importance_class_0,importance_class_1,importance_mean
64,0.0022002079627056284,0.0031153465485355505,0.0026577772556205894
143,0.001737022050808908,0.0035347539815878313,0.0026358880161983698
153,0.0025592621211103506,0.0026775297814272867,0.002618395951268819
85,0.0016369212893501128,0.003589036935404503,0.0026129791123773076
147,0.0014339134586028497,0.003723971359022471,0.0025789424088126602
173,0.0007593537451905755,0.0042937669286402524,0.002526560336915414
152,0.0010427557202395594,0.003967625422319543,0.002505190571279551
169,0.0012731439718104791,0.0036019429072856233,0.002437543439548051
164,0.0013887974107641792,0.003320579691868867,0.002354688551316523
168,0.0011541263561033095,0.0035551136384128768,0.002354619997258093
59,0.0013637507477521165,0.0032828110859668413,0.002323280916859479
3,0.002599372405484246,0.0019856744455826933,0.00229252342553347
111,0.0014474311651137366,0.003129036262469261,0.0022882337137914988
23,0.00336896661103007,0.0011714038554183996,0.0022701852332242347
118,0.0007219319193575066,0.0037484350004888256,0.002235183459923166
122,0.002497999830287275,0.001839871446785916,0.0021689356385365954
126,0.0019433512134886162,0.0023576381603334085,0.002150494686911012
41,0.0017176199988095202,0.002412249593987781,0.0020649347963986506
137,0.0027893054964351904,0.001277397174569354,0.0020333513355022723
56,0.0005630187380821402,0.003300836915779352,0.001931927826930746
0,0.0011422920109538381,0.002705438216632198,0.001923865113793018
157,0.002086327126770963,0.001750220649531305,0.001918273888151134
128,0.0007971396118667448,0.0030259210463441377,0.0019115303291054413
125,0.0013850585086743195,0.0024250616285523088,0.0019050600686133141
150,0.001575823143980415,0.0019477692989653406,0.0017617962214728777
159,0.0018054836276633068,0.0016697992240880903,0.0017376414258756987
33,0.0015957727587192494,0.0017667009359077686,0.0016812368473135089
34,0.0007042098759105405,0.0026504319719056943,0.0016773209239081175
178,0.0003225310391812286,0.003020250410903221,0.0016713907250422249
14,0.0011261946078017597,0.0021722546105896376,0.0016492246091956986
91,0.0003052259843533041,0.002937001682084883,0.0016211138332190937
183,0.0026772994603874167,0.0004665598916933078,0.0015719296760403623
6,0.002012948167627352,0.001124547406845977,0.0015687477872366646
165,0.001175845990455097,0.001930903314985244,0.0015533746527201706
186,0.0013683517809113255,0.0017102006020005926,0.0015392761914559592
77,0.00112553014547719,0.0019337235538946136,0.0015296268496859018
139,0.0002919510269994892,0.002743697546634394,0.0015178242868169416
1,0.001868659901094342,0.0011457852244009341,0.001507222562747638
135,0.0012976751520928549,0.0016687826066951554,0.0014832288793940052
31,0.0008538575347264062,0.002087922938774985,0.0014708902367506957
51,0.0021813804193773953,0.0007131601845600244,0.0014472703019687099
30,0.0007899862803337024,0.002051564962092319,0.0014207756212130107
67,0.0015604581472625039,0.0012699500517783235,0.0014152040995204138
119,0.0006875552496599843,0.002091618189979272,0.0013895867198196281
155,0.0016445477575501855,0.001117079527427715,0.0013808136424889503
114,0.0013522099883781873,0.001395576088574065,0.001373893038476126
166,0.00031777977552138736,0.002409400086956263,0.001363589931238825
12,0.0014052081896049156,0.0013137089267729607,0.0013594585581889382
32,0.0022608660007108483,0.00044120100019640063,0.0013510335004536245
151,0.001139157230757822,0.0014656029389167695,0.0013023800848372957
163,0.0014305248988459123,0.0010712598321731548,0.0012508923655095336
134,0.0017368247873150722,0.0006653182469188815,0.0012010715171169768
100,0.0001564107654961807,0.0022067070767282835,0.0011815589211122321
142,0.00025671589804687756,0.0020757881554042492,0.0011662520267255634
13,0.0007534899997286478,0.00152084230080618,0.001137166150267414
9,0.001044163671944413,0.001017067471991595,0.0010306155719680041
39,0.000494726252820025,0.0015371118361334386,0.0010159190444767319
124,0.00020392691832663937,0.0016751265172842977,0.0009395267178054686
17,0.0003115874348319873,0.0015542961322220588,0.0009329417835270231
76,0.0009464981242880791,0.0008075934154139949,0.000877045769851037
167,0.0005789720342666745,0.0011488767360863978,0.0008639243851765361
69,0.0008441352135074945,0.0008656246144103837,0.0008548799139589391
108,0.0008456387932393264,0.0007976579801152184,0.0008216483866772724
188,0.0007120389592500942,0.0008603002534831224,0.0007861696063666084
