feature,importance_class_0,importance_class_1,importance_mean
19,0.0017305527912109635,0.008600233121493753,0.005165392956352358
37,0.002804969818043901,0.0074340829863407025,0.005119526402192301
176,0.0017105840266443313,0.008456988917373565,0.005083786472008948
178,0.002056869247041959,0.007826160532204085,0.004941514889623022
92,0.004816014102895376,0.004803287310248076,0.004809650706571726
4,0.003119777962789764,0.006496389589907873,0.004808083776348819
84,0.005716099883329662,0.0033348956932878573,0.004525497788308759
146,0.003816169104444119,0.005145976412601764,0.0044810727585229415
110,0.0024552446970081596,0.006429988817368819,0.004442616757188489
15,0.002693685161451261,0.006190156494900141,0.004441920828175701
133,0.003115812766689411,0.005697275310050524,0.004406544038369968
54,0.004041580678688206,0.004758277196439546,0.004399928937563876
14,0.003574365158897308,0.005151851138483228,0.004363108148690268
131,0.005594809941006436,0.0030896603849915514,0.0043422351629989935
50,0.004930472720388934,0.0033650465565978984,0.004147759638493416
57,0.002812519112467271,0.005453226613335953,0.004132872862901612
182,0.003730348656612629,0.0041012372051246375,0.0039157929308686334
93,0.0042441354947489645,0.0035533906588322375,0.003898763076790601
45,0.0022737298300702,0.005464242297459047,0.0038689860637646234
158,0.0042821116699087725,0.0032855873738147543,0.0037838495218617636
175,0.0015028331254285376,0.0058531160719136706,0.003677974598671104
33,0.004163190485693728,0.0030627569667179464,0.003612973726205837
148,0.002366076335581132,0.004834684543235805,0.003600380439408468
59,0.001960616783129865,0.005164139423148602,0.0035623781031392334
128,0.004246947931430138,0.002850491885927416,0.003548719908678777
179,0.002593735914918701,0.004427034011256807,0.0035103849630877537
96,0.002779451574497216,0.004101749562930006,0.0034406005687136107
135,0.0025403160712661097,0.004135490903915222,0.0033379034875906655
27,0.0020520257453426893,0.00458894025441244,0.0033204829998775645
170,0.0036920759212080156,0.002946528092744908,0.0033193020069764616
99,0.003435926566605,0.003191265032000956,0.003313595799302978
63,0.002493446472044525,0.0038903175673112855,0.003191882019677905
64,0.0048277373862219974,0.0014984010198683488,0.0031630692030451732
186,0.0003536509755690531,0.005718001719647721,0.003035826347608387
102,0.0017191119415353266,0.004321676094226253,0.0030203940178807898
80,0.0030177769672832255,0.002962380567358499,0.0029900787673208624
3,0.003827215653378365,0.002140618996920788,0.0029839173251495765
53,0.0037923317630278084,0.0019952594994947503,0.0028937956312612796
108,0.0014140450300222558,0.004319228268097201,0.0028666366490597284
167,0.0009840411537804055,0.00455351897763497,0.0027687800657076878
149,0.0035565843675726683,0.0018969251644496883,0.002726754766011178
100,0.00045773949746793124,0.004985337440444937,0.002721538468956434
85,0.004190755807276976,0.001116933722376719,0.0026538447648268475
127,0.00042704507513136036,0.004858914303156325,0.002642979689143843
157,0.0035126534631520676,0.0016916290248142711,0.0026021412439831693
150,0.0019089339785030763,0.0032645327009201233,0.0025867333397116
165,0.001097807019988295,0.004042552756345685,0.00257017988816699
31,0.0032183757916754985,0.0017721082032646034,0.002495241997470051
22,0.002152515354969372,0.00273500178062965,0.002443758567799511
164,0.00036228672986264127,0.004463087378001755,0.0024126870539321983
48,0.0017801021470103724,0.0030361876657328444,0.0024081449063716085
103,0.0014126608148217201,0.0033833370224177393,0.00239799891861973
153,0.0016090356613555439,0.003175697778023808,0.002392366719689676
172,0.0019992022232410513,0.0027765849260201017,0.0023878935746305765
169,0.0021319047512591283,0.0026418596292690686,0.0023868821902640986
151,0.0032360478531974954,0.0014985761376730504,0.002367311995435273
155,0.002512590749233823,0.0021941351344594295,0.002353362941846626
12,0.0007853423422545802,0.0038459603788396635,0.002315651360547122
126,0.0012280282791910697,0.003343504117651719,0.002285766198421394
74,0.000552964849806159,0.0036267723896799,0.0020898686197430294
123,0.00336715454218961,0.0006543851115831482,0.002010769826886379
173,0.0005365267222714465,0.003432156072676662,0.0019843413974740542
69,0.00048666562626446347,0.003481501865583899,0.001984083745924181
46,0.0018004960013608222,0.0021516320053365234,0.001976064003348673
49,0.0008862361471149901,0.0030117466555642145,0.0019489914013396024
5,0.0034542946615043015,0.000419914748985543,0.0019371047052449222
11,0.0015070531707503203,0.002351334667385648,0.001929193919067984
134,0.0034972907754612,0.00032604481961584497,0.0019116677975385226
9,0.0033024803681200865,0.0005205183618599563,0.0019114993649900214
32,0.0016058600571871768,0.0021240303959378557,0.0018649452265625164
39,0.001825855964227685,0.0017461664382570536,0.0017860112012423692
1,0.0009841166006197,0.002559644035708667,0.0017718803181641836
44,0.0026029807740997057,0.0006951427340595728,0.0016490617540796393
41,0.0005310710651874236,0.0027567542572342063,0.001643912661210815
77,0.0022544595701342964,0.0009521636496572228,0.0016033116098957596
87,0.0010989274816589993,0.00199329444463577,0.0015461109631473846
189,0.001473897764716033,0.001398683899556848,0.0014362908321364405
122,0.0021698071916489425,0.000701618563368811,0.0014357128775088768
111,0.0008106346461052757,0.001957225982721411,0.0013839303144133435
76,0.0007557293165234569,0.001994621807294076,0.0013751755619087664
61,0.0002784902060639638,0.0022792590617276196,0.0012788746338957917
163,0.0009029777200832237,0.0016120810869608704,0.001257529403522047
124,0.0022107642886718772,0.0002997700903317006,0.0012552671895017888
8,0.0016220772307254567,0.0005368407968073067,0.0010794590137663818
23,0.000835463845208532,0.0012711341725169707,0.0010532990088627514
13,0.0006323657390296944,0.0013653852359141183,0.0009988754874719064
35,0.0004187274619624759,0.0014671873955194314,0.0009429574287409537
79,0.0007414839923664355,0.0010949455232965495,0.0009182147578314925
118,0.00035633432520206415,0.0014434672834795492,0.0008999008043408067
139,0.0013729880377469546,0.0004010749975975614,0.000887031517672258
17,0.00010030256031730762,0.0016524958256619964,0.000876399192989652
91,0.00021921981870913024,0.0015124728913444112,0.0008658463550267708
168,0.0006323786999094713,0.001021933974833189,0.0008271563373713302
65,8.723473436293243e-05,0.0015469650530709107,0.0008170998937169216
114,0.000374903290965752,0.0011960892030250154,0.0007854962469953837
112,0.0005603938898038526,0.0009596735852331525,0.0007600337375185026
97,0.00026103576449069504,0.001165064402821751,0.000713050083656223
0,0.001232000971810976,0.00013772462599940619,0.0006848627989051911
109,0.0008277772196265687,0.0005267079025846518,0.0006772425611056103
2,0.0002639048818448009,0.0010459466080116424,0.0006549257449282216
143,0.00046785565695965187,0.0008163204957630418,0.0006420880763613468
142,0.0002573517069635045,0.0010083427024104215,0.000632847204686963
160,0.0006341674893424928,0.0005823798135224934,0.0006082736514324931
51,0.000921226154721122,0.0002757165034760571,0.0005984713290985896
67,0.00023546989606397042,0.0009173706560545725,0.0005764202760592715
16,0.000304380257991473,0.000816400916363591,0.000560390587177532
6,0.0010487716596022285,5.529832422723757e-05,0.000552034991914733
119,0.00027442066385200786,0.0006564959971816128,0.0004654583305168103
115,0.0006463751199442905,0.0002784569409281327,0.0004624160304362116
188,0.0003615138298490213,0.0004342874014658567,0.000397900615657439
56,0.0001585920041549116,0.0005344270751095337,0.00034650953963222264
152,7.569562548326303e-05,0.0005273355316296838,0.00030151557855647343
